file,rows,columns,polling_stations,duplicate_ps,status,reason
AC117_Kavundampalayam.csv,547.0,20.0,547.0,0.0,PASS,
AC118_Coimbatore (North).csv,333.0,34.0,333.0,0.0,PASS,
AC119_Thondamuthur.csv,367.0,27.0,367.0,0.0,PASS,
AC120_Coimbatore (South).csv,275.0,36.0,275.0,0.0,PASS,
AC121_Singanallur.csv,353.0,34.0,353.0,0.0,PASS,
AC122_Kinathukadavu.csv,362.0,11.0,362.0,0.0,PASS,
AC123_Pollachi.csv,268.0,19.0,268.0,0.0,PASS,
AC124_Valparai (SC).csv,241.0,12.0,241.0,0.0,PASS,
AC127_Palani.csv,339.0,22.0,,,PASS,
AC128_Oddanchatram.csv,314.0,21.0,,,PASS,
AC129_Athoor.csv,341.0,22.0,,,PASS,
AC130_Nilakkottai (SC).csv,305.0,22.0,,,PASS,
AC131_Natham.csv,359.0,24.0,,,PASS,
AC132_Dindigul.csv,316.0,27.0,,,PASS,
AC133_Vedasandur.csv,327.0,22.0,,,PASS,
AC134_Aravakurichi.csv,259.0,37.0,259.0,0.0,PASS,
AC135_Karur.csv,283.0,86.0,283.0,0.0,PASS,
AC136_Krishnarayapuram (SC).csv,275.0,35.0,275.0,0.0,PASS,
AC137_Kulithalai.csv,286.0,36.0,286.0,0.0,PASS,
AC138_Manapparai.csv,346.0,25.0,,,PASS,
AC139_Srirangam.csv,367.0,27.0,367.0,0.0,PASS,
AC140_Tiruchirappalli (West).csv,305.0,21.0,305.0,0.0,PASS,
AC141_Tiruchirappalli (East).csv,304.0,27.0,304.0,0.0,PASS,
AC142_Thiruverumbur.csv,312.0,32.0,,,PASS,
AC143_Lalgudi.csv,276.0,31.0,276.0,0.0,PASS,
AC144_Manachanallur.csv,297.0,29.0,,,PASS,
AC145_Musiri.csv,283.0,18.0,,,PASS,
AC146_Thuraiyur (SC).csv,297.0,21.0,297.0,0.0,PASS,
AC147_Perambalur (SC).csv,387.0,8.0,,,PASS,
AC148_Kunnam.csv,344.0,26.0,344.0,0.0,PASS,
AC151_Tittakudi (SC).csv,,,,,FAIL,No columns to parse from file
AC152_Vriddhachalam.csv,,,,,FAIL,No columns to parse from file
AC153_Neyvel.csv,,,,,FAIL,No columns to parse from file
AC154_Panruti.csv,,,,,FAIL,No columns to parse from file
AC155_Cuddalore.csv,,,,,FAIL,No columns to parse from file
AC156_Kurinjipadi.csv,,,,,FAIL,No columns to parse from file
AC157_Bhuvanagiri.csv,,,,,FAIL,No columns to parse from file
AC158_Chidambaram.csv,,,,,FAIL,No columns to parse from file
AC159_Kattumannarkoil (SC).csv,,,,,FAIL,No columns to parse from file
AC163_Nagapattinam.csv,254.0,20.0,254.0,0.0,PASS,
AC164_Kilvelur.csv,234.0,14.0,234.0,0.0,PASS,
AC165_Vedaranyam.csv,254.0,18.0,254.0,0.0,PASS,
AC166_Thiruthuraipoondi (SC).csv,293.0,15.0,293.0,0.0,PASS,
AC167_Mannargudi.csv,300.0,21.0,300.0,0.0,PASS,
AC168_Thiruvarur.csv,327.0,14.0,327.0,0.0,PASS,
AC169_Nannilam.csv,337.0,20.0,337.0,0.0,PASS,
AC170_Thiruvidaimarudur (SC).csv,320.0,20.0,320.0,0.0,PASS,
AC171_Kumbakonam.csv,293.0,19.0,293.0,0.0,PASS,
AC172_Papanasam.csv,315.0,19.0,315.0,0.0,PASS,
AC173_Thiruvaiyaru.csv,331.0,19.0,331.0,0.0,PASS,
AC174_Thanjavur.csv,309.0,17.0,309.0,0.0,PASS,
AC175_Orathanadu.csv,314.0,15.0,314.0,0.0,PASS,
AC176_Pattukkottai.csv,301.0,17.0,301.0,0.0,PASS,
AC177_Peravurani.csv,284.0,16.0,284.0,0.0,PASS,
AC178_Gandharvakottai (SC).csv,11.0,19.0,,,PASS,
AC179_Viralimalai.csv,27.0,19.0,,,PASS,
AC180_Pudukkottai.csv,31.0,19.0,,,PASS,
AC181_Thirumayam.csv,15.0,19.0,,,PASS,
AC182_Alangudi.csv,15.0,19.0,,,PASS,
AC183_Aranthangi.csv,16.0,19.0,,,PASS,
AC184_Karaikudi.csv,356.0,31.0,356.0,0.0,PASS,
AC185_Tiruppattur.csv,368.0,21.0,368.0,0.0,PASS,
AC186_Sivaganga.csv,393.0,23.0,393.0,0.0,PASS,
AC187_Manamadurai (SC).csv,369.0,20.0,369.0,0.0,PASS,
AC188_Melur.csv,291.0,19.0,291.0,0.0,PASS,
AC189_Madurai East.csv,398.0,21.0,398.0,0.0,PASS,
AC190_Sholavandan (SC).csv,256.0,20.0,256.0,0.0,PASS,
AC191_Madurai North.csv,266.0,19.0,266.0,0.0,PASS,
AC192_Madurai South.csv,227.0,12.0,227.0,0.0,PASS,
AC193_Madurai Central.csv,253.0,18.0,253.0,0.0,PASS,
AC194_Madurai West.csv,327.0,20.0,327.0,0.0,PASS,
AC195_Thiruparankundram.csv,352.0,21.0,352.0,0.0,PASS,
AC196_Thirumangalam.csv,344.0,21.0,344.0,0.0,PASS,
AC197_Usilampatti.csv,342.0,18.0,342.0,0.0,PASS,
AC198_Andipatti.csv,344.0,25.0,344.0,0.0,PASS,
AC199_Periyakulam (SC).csv,360.0,20.0,360.0,0.0,PASS,
AC200_Bodinayakanur.csv,346.0,22.0,346.0,0.0,PASS,
AC201_Cumbum.csv,345.0,26.0,345.0,0.0,PASS,
AC202_Rajapalayam.csv,266.0,28.0,266.0,0.0,PASS,
AC203_Srivilliputhur (SC).csv,308.0,20.0,308.0,0.0,PASS,
AC204_Sattur.csv,291.0,28.0,291.0,0.0,PASS,
AC205_Sivakasi.csv,288.0,20.0,288.0,0.0,PASS,
AC206_Virudhunagar.csv,275.0,21.0,275.0,0.0,PASS,
AC207_Aruppukkottai.csv,267.0,31.0,267.0,0.0,PASS,
AC208_Tiruchuli.csv,289.0,29.0,289.0,0.0,PASS,
AC209_Paramakudi (SC).csv,314.0,18.0,314.0,0.0,PASS,
AC210_Tiruvadanai.csv,378.0,27.0,378.0,0.0,PASS,
AC211_Ramanathapuram.csv,399.0,19.0,399.0,0.0,PASS,
AC212_Mudhukulathur.csv,408.0,26.0,408.0,0.0,PASS,
AC213_Vilathikulam.csv,268.0,21.0,268.0,0.0,PASS,
AC214_Thoothukkudi.csv,352.0,21.0,352.0,0.0,PASS,
AC215_Tiruchendur.csv,307.0,19.0,307.0,0.0,PASS,
AC216_Srivaikuntam.csv,293.0,21.0,293.0,0.0,PASS,
AC217_Ottapidaram (SC).csv,308.0,19.0,308.0,0.0,PASS,
AC218_Kovilpatti.csv,311.0,27.0,311.0,0.0,PASS,
AC224_Tirunelveli.csv,386.0,26.0,386.0,0.0,PASS,
AC225_Ambasamudram.csv,309.0,11.0,309.0,0.0,PASS,
AC226_Palayamkottai.csv,296.0,23.0,296.0,0.0,PASS,
AC227_Nanguneri.csv,345.0,31.0,345.0,0.0,PASS,
AC228_Radhapuram.csv,322.0,29.0,322.0,0.0,PASS,
AC229_Kanniyakumari.csv,363.0,20.0,363.0,0.0,PASS,
AC230_Nagercoil.csv,322.0,26.0,322.0,0.0,PASS,
AC231_Colachal.csv,316.0,19.0,316.0,0.0,PASS,
AC232_Padmanabhapuram.csv,312.0,17.0,312.0,0.0,PASS,
AC233_Vilavancode.csv,299.0,16.0,299.0,0.0,PASS,
AC234_Killiyoor.csv,301.0,19.0,301.0,0.0,PASS,
AC149_Ariyalur.csv,14.0,23.0,14.0,0.0,PASS,
AC150_Jayankondam.csv,14.0,27.0,14.0,0.0,PASS,
AC101_Dharapuram (SC).csv,320.0,16.0,320.0,0.0,PASS,
AC102_Kangayam.csv,318.0,22.0,318.0,0.0,PASS,
AC112_Avanashi (SC).csv,372.0,21.0,372.0,0.0,PASS,
AC113_Tiruppur (North).csv,442.0,22.0,442.0,0.0,PASS,
AC114_Tiruppur (South).csv,289.0,30.0,289.0,0.0,PASS,
AC115_Palladam.csv,480.0,22.0,480.0,0.0,PASS,
AC125_Udumalaipettai.csv,307.0,18.0,307.0,0.0,PASS,
AC126_Madathukulam.csv,294.0,20.0,294.0,0.0,PASS,
AC077_Ulundurpettai.csv,375.0,23.0,,,PASS,
AC078_Rishivandiyam.csv,350.0,34.0,,,PASS,
AC079_Sankarapuram.csv,340.0,31.0,,,PASS,
AC080_Kallakurichi (SC).csv,370.0,19.0,,,PASS,
AC219_Sankarankovil (SC).csv,309.0,26.0,309.0,0.0,PASS,
AC220_Vasudevanallur (SC).csv,310.0,24.0,310.0,0.0,PASS,
AC221_Kadayanallur.csv,359.0,28.0,359.0,0.0,PASS,
AC222_Tenkasi.csv,359.0,28.0,359.0,0.0,PASS,
AC223_Alangulam.csv,332.0,19.0,332.0,0.0,PASS,
AC027_Shozhinganallur.csv,720.0,34.0,720.0,0.0,PASS,
AC030_Pallavaram.csv,476.0,30.0,476.0,0.0,PASS,
AC031_Tambaram.csv,476.0,22.0,476.0,0.0,PASS,
AC032_Chengalpattu.csv,504.0,22.0,504.0,0.0,PASS,
AC033_Thiruporur.csv,375.0,18.0,375.0,0.0,PASS,
AC034_Cheyyur (SC).csv,294.0,20.0,294.0,0.0,PASS,
AC035_Madurantakam (SC).csv,294.0,16.0,294.0,0.0,PASS,
AC047_Vaniyambadi.csv,306.0,21.0,306.0,0.0,PASS,
AC048_Ambur.csv,294.0,22.0,294.0,0.0,PASS,
AC049_Jolarpet.csv,282.0,25.0,282.0,0.0,PASS,
AC050_Tirupattur.csv,299.0,30.0,299.0,0.0,PASS,
AC038_Arakkonam (SC).csv,284.0,20.0,284.0,0.0,PASS,
AC039_Sholingur.csv,341.0,30.0,341.0,0.0,PASS,
AC041_Ranipet.csv,304.0,22.0,304.0,0.0,PASS,
AC042_Arcot.csv,318.0,21.0,318.0,0.0,PASS,
AC160_Sirkazhi (SC).csv,305.0,16.0,305.0,0.0,PASS,
AC161_Mayiladuthurai.csv,299.0,26.0,299.0,0.0,PASS,
AC162_Poompuhar.csv,342.0,19.0,342.0,0.0,PASS,
